date_start,impressions,cpm,ctr,clicks,spend,cpp
2023-10-10,1174,101.678024,4.599659,54,119.37,115.893204
2023-10-10,19332,48.303849,1.013863,196,933.81,65.881896
2023-10-10,10360,112.641892,2.123552,220,1166.97,208.685622
2023-10-10,13895,68.072688,0.928392,129,945.87,91.707388
2023-10-10,17095,68.195964,2.772741,474,1165.81,104.6978
2023-10-10,17165,52.913487,2.277891,391,908.26,87.173433
2023-10-10,19861,51.360455,1.737073,345,1020.07,86.792308
2023-10-10,11894,95.240457,1.908525,227,1132.79,121.128101
2023-10-10,8509,100.210366,2.162416,184,852.69,135.412101
2023-10-10,10674,79.643995,1.986135,212,850.12,105.775787

2023-10-10,33662,70.892698,1.708158,575,2386.39,172.464407
2023-10-10,28416,83.628238,1.847551,525,2376.38,169.342265
2023-10-10,17801,51.789787,0.999944,178,921.91,67.106566
2023-10-10,24927,95.62683,1.973763,492,2383.69,156.780453
2023-10-10,22774,83.505752,1.879336,428,1901.76,141.943574









2023-10-10,457966,76.382461,0.750274,3436,34980.57,96.076448
2023-10-10,423574,80.203624,0.715341,3030,33972.17,101.96678
2023-10-10,453212,75.762248,0.710043,3218,34336.36,95.535084
2023-10-10,495553,71.748915,0.668344,3312,35555.39,88.31158
2023-10-10,448615,78.163927,0.674075,3024,35065.51,97.353895
2023-10-10,447506,75.878871,0.68446,3063,33956.25,93.527672
2023-10-10,426943,79.265452,0.718129,3066,33841.83,102.103293
2023-10-10,478156,74.329152,0.670074,3204,35540.93,93.665317
2023-10-10,459636,75.492259,0.691417,3178,34698.96,95.557043
2023-10-10,461363,80.831558,0.836651,3860,37292.69,100.643625
2023-10-10,12994,135.598738,0.908111,118,1761.97,172.387242
2023-10-10,13275,139.047834,0.926554,123,1845.86,170.40805
2023-10-10,14709,138.72459,0.904208,133,2040.5,166.489883
2023-10-10,9475,137.26438,0.886544,84,1300.58,164.588712
2023-10-10,6815,145.559795,1.203228,82,991.99,168.820626
2023-10-10,7018,142.952408,0.954688,67,1003.24,167.318212
2023-10-10,8225,139.386018,0.81459,67,1146.45,161.018258
2023-10-10,4447,143.66989,0.989431,44,638.9,165.90496
2023-10-10,10684,151.125047,0.89854,96,1614.62,179.083851
2023-10-10,7591,137.954156,0.882624,67,1047.21,157.617399
2023-10-10,87835,182.177378,1.302442,1144,16001.55,218.989325
2023-10-10,11907,171.740153,0.814647,97,2044.91,200.776632
2023-10-10,5096,196.50314,0.843799,43,1001.38,236.230243
2023-10-10,7182,193.100808,0.960735,69,1386.85,230.872316
2023-10-10,29780,212.446944,0.940228,280,6326.67,264.227781
2023-10-10,18892,95.505505,1.635613,309,1804.29,176.131394
2023-10-10,680765,1.124588,0.607111,4133,765.58,3.908114
2023-10-10,11764,124.376913,1.538592,181,1463.17,235.425583


























































2023-10-10,2249,252.1743,1.022677,23,567.14,359.632213
2023-10-10,3687,135.573637,1.112015,41,499.86,147.494836
2023-10-10,1121,201.213203,0.892061,10,225.56,246.244541
2023-10-10,1747,515.518031,0.629651,11,900.61,717.046178
2023-10-10,26653,409.428207,1.204367,321,10912.49,609.602257
2023-10-10,19926,387.946402,1.189401,237,7730.22,553.304703
2023-10-10,8716,356.843736,1.239101,108,3110.25,479.902793
2023-10-10,6281,403.942047,1.050788,66,2537.16,482.34981
2023-10-10,85001,188.370607,1.874096,1593,16011.69,204.030353
2023-10-10,61406,171.217796,1.887438,1159,10513.8,184.129597
2023-10-10,36952,339.467688,1.006711,372,12544.01,452.574593
2023-10-10,27806,117.793642,0.546645,152,3275.37,164.294242
2023-10-10,6272,330.704719,0.956633,60,2074.18,412.854299
2023-10-10,13794,105.972162,0.688705,95,1461.78,141.193857
2023-10-10,1372283,41.03776,0.686229,9417,56315.42,63.050683




2023-10-10,4036,74.653122,0.445986,18,301.3,107.453638


2023-10-10,4691,65.638457,0.682157,32,307.91,83.990726
















2023-10-10,73,34.109589,0,0,2.49,40.16129
2023-10-10,2986,50.244474,1.77495,53,150.03,56.67926
2023-10-10,666,43.513514,3.003003,20,28.98,48.870152
2023-10-10,1640,49.859756,2.317073,38,81.77,57.706422
2023-10-10,508,42.38189,0.787402,4,21.53,48.382022
2023-10-10,145,53.37931,2.068966,3,7.74,61.428571
2023-10-10,130,51.846154,4.615385,6,6.74,57.118644
2023-10-10,865,49.017341,1.618497,14,42.4,54.709677
2023-10-10,186,39.677419,2.150538,4,7.38,45
2023-10-10,736,46.548913,2.717391,20,34.26,51.287425
2023-10-10,16,48.125,12.5,2,0.77,48.125
2023-10-10,233,40.772532,0.858369,2,9.5,44.392523
2023-10-10,1910,49.068063,2.356021,45,93.72,55.88551
2023-10-10,3802,47.96949,2.314571,88,182.38,55.50213
2023-10-10,294,43.571429,1.020408,3,12.81,48.707224
2023-10-10,677,46.779911,1.920236,13,31.67,52.607973
2023-10-10,2220,45.153153,1.441441,32,100.24,50.220441
2023-10-10,3397,48.322049,2.649397,90,164.15,55.871341
2023-10-10,1620,49.018519,2.469136,40,79.41,55.107564
2023-10-10,264,61.666667,1.136364,3,16.28,69.57265
2023-10-10,32,45.3125,0,0,1.45,48.333333
2023-10-10,41,75.365854,0,0,3.09,88.285714
2023-10-10,7,58.571429,0,0,0.41,82
2023-10-10,229,50,0.436681,1,11.45,53.755869
2023-10-10,155,44.387097,0,0,6.88,50.218978
2023-10-10,185137,120.012531,0.529878,981,22218.76,137.47191
2023-10-10,102365,125.68075,0.545108,558,12865.31,138.616881
2023-10-10,131057,140.676118,0.495204,649,18436.59,157.63967
2023-10-10,247139,132.479172,0.516713,1277,32740.77,151.494878
2023-10-10,377457,103.819905,0.441905,1668,39187.55,121.109212
2023-10-10,195858,134.319507,0.503426,986,26307.55,147.841737
2023-10-10,339621,107.627355,0.420469,1428,36552.51,119.967409
2023-10-10,256520,101.65414,0.414393,1063,26076.32,113.338346
2023-10-10,98798,127.53082,0.494949,489,12599.79,138.843721
2023-10-10,190983,134.349497,0.528319,1009,25658.47,153.938505
2023-10-10,18549,229.31964,0.307294,57,4253.65,243.818067
2023-10-10,12294,145.993167,0.479909,59,1794.84,160.325145
2023-10-10,189795,94.332148,0.408335,775,17903.77,107.932059
2023-10-10,10281,157.795934,0.301527,31,1622.3,159.659482
2023-10-10,4833,173.923029,0.248293,12,840.57,187.292781
2023-10-10,27312,163.244361,0.486965,133,4458.53,178.362604
2023-10-10,317191,176.199356,1.014531,3218,55888.85,248.182004
2023-10-10,4667,178.071566,0.492822,23,831.06,199.91821
2023-10-10,9664,202.863204,0.57947,56,1960.47,218.096562
2023-10-10,36262,122.491313,0.366775,133,4441.78,142.264429
2023-10-10,10322,147.722341,0.34877,36,1524.79,151.569583
2023-10-10,55176,194.836523,0.679643,375,10750.3,260.758726
2023-10-10,4144,212.333494,0.3861,16,879.91,236.09069
2023-10-10,44974,163.684129,0.277938,125,7361.53,170.78531
2023-10-10,16262,156.743943,0.510392,83,2548.97,175.126761
2023-10-10,354,35.677966,0.847458,3,12.63,41.27451
2023-10-10,129919,34.577544,1.208445,1570,4492.28,107.831973
2023-10-10,729,66.035665,1.646091,12,48.14,106.504425
2023-10-10,17592,61.809914,1.654161,291,1087.36,104.45341

2023-10-10,361986,12.024388,1.257231,4551,4352.66,45.17785
2023-10-10,77365,49.511278,0.984942,762,3830.44,113.299811
2023-10-10,35737,63.267202,0.733134,262,2260.98,138.269325
2023-10-10,20017,54.980267,0.96418,193,1100.54,139.115156
2023-10-10,11129,20.221044,0.907539,101,225.04,31.925096
2023-10-10,15239,19.40416,0.564341,86,295.7,31.693462
2023-10-10,14467,30.020046,0.518421,75,434.3,52.661574
2023-10-10,73954,28.072586,0.934365,691,2076.08,77.523525

2023-10-10,55736,9.45511,1.65961,925,526.99,17.980484
2023-10-10,5763,106.989415,0.50321,29,616.58,5138.166667









2023-10-10,25854,301.327454,1.288002,333,7790.52,417.856683
2023-10-10,550,540.527273,0.727273,4,297.29,603.022312
2023-10-10,2234,93.818263,0.581916,13,209.59,102.288921
2023-10-10,9365,486.089696,1.292045,121,4552.23,570.669425




2023-10-10,91,150.769231,0,0,13.72,161.411765
2023-10-10,937,338.847385,1.387407,13,317.5,368.757259

2023-10-10,1874,324.156884,1.173959,22,607.47,344.957411

2023-10-10,4686,543.514725,1.109688,52,2546.91,622.412023

2023-10-10,4955,318.918264,0.928355,46,1580.24,332.192558
2023-10-10,773,357.231565,1.164295,9,276.14,399.623734


2023-10-10,5209,338.869265,0.729507,38,1765.17,369.591709
2023-10-10,2457,384.725275,0.651201,16,945.27,410.629887
2023-10-10,13060,400.454058,0.436447,57,5229.93,433.983072
2023-10-10,2070,337.048309,0.724638,15,697.69,357.057318
2023-10-10,4900,359.342857,0.591837,29,1760.78,386.474978
2023-10-10,2382,417.065491,0.629723,15,993.45,447.903517

























2023-10-10,46326,367.386565,0.535337,248,17019.55,469.854788
2023-10-10,25310,280.438167,0.521533,132,7097.89,305.956722
2023-10-10,1248,39.703526,0.240385,3,49.55,41.95597
2023-10-10,19120,270.490063,0.533473,102,5171.77,292.636791
2023-10-10,137953,256.155792,0.625575,863,35337.46,309.605649
2023-10-10,298570,163.582108,0.528519,1578,48840.71,192.056397
2023-10-10,11787,222.719946,0.678714,80,2625.2,238.416129
2023-10-10,77,415.844156,3.896104,3,32.02,561.754386

2023-10-10,272,492.904412,0.367647,1,134.07,654


2023-10-10,176,404.261364,0,0,71.15,428.614458


2023-10-10,75,270.666667,0,0,20.3,290
2023-10-10,1463,316.493506,0.615174,9,463.03,389.10084

2023-10-10,96,300,2.083333,2,28.8,327.272727
2023-10-10,115,245.73913,0,0,28.26,252.321429
2023-10-10,207,267.149758,0.483092,1,55.3,295.721925









